AF028704.1 Adeno-associated virus 6, complete genome
AF221065.1 DG-75 Murine leukemia virus, complete genome
DQ399707.1 Xenotropic MuLV-related virus VP62, complete genome
HQ246218.1 Murine leukemia virus N417, complete genome
NC 000883.2 Human parvovirus B19, complete genome
NC 000898.1 Human herpesvirus 6B, complete genome
NC 000940.1 Porcine enteric sapovirus, complete genome
NC 000943.1 Murray Valley encephalitis virus, complete genome
NC 001348.1 Human herpesvirus 3, complete genome
NC 001362.1 Friend murine leukemia virus FB29 complete genome
NC 001401.2 Adeno-associated virus - 2, complete genome
NC 001405.1 Human adenovirus C, complete genome
NC 001430.1 Human enterovirus D, complete genome
NC 001434.1 Hepatitis E virus, complete genome
NC 001436.1 Human T-lymphotropic virus 1, complete genome
NC 001437.1 Japanese encephalitis virus, genome
NC 001454.1 Human adenovirus F, complete genome
NC 001460.1 Human adenovirus A, complete genome
NC 001472.1 Human enterovirus B, complete genome
NC 001474.2 Dengue virus 2, complete genome
NC 001475.2 Dengue virus 3, complete genome
NC 001477.1 Dengue virus 1, complete genome
NC 001488.1 Human T-lymphotropic virus 2, complete proviral genome
NC 001490.1 Human rhinovirus 14, complete genome
NC 001498.1 Measles virus, complete genome
NC 001499.1 Abelson murine leukemia virus, complete genome
NC 001501.1 Moloney murine leukemia virus, complete genome
NC 001503.1 Mouse mammary tumor virus, complete genome
NC 001512.1 O'nyong-nyong virus, complete genome
NC 001538.1 BK polyomavirus, complete genome
NC 001542.1 Rabies virus, complete genome
NC 001544.1 Ross River virus, complete genome
NC 001545.2 Rubella virus, complete genome
NC 001552.1 Sendai virus genomic RNA, antisense, complete sequence
NC 001560.1 Vesicular stomatitis Indiana virus, complete genome
NC 001563.2 West Nile virus lineage 2, complete genome
NC 001564.1 Cell fusing agent virus, complete genome
NC 001607.1 Borna disease virus 1, complete sequence
NC 001608.3 Marburg marburgvirus isolate Marburg virus/H.sapiens-tc/KEN/1980/Mt. Elgon-Musoke, complete genome
NC 001611.1 Variola virus, complete genome
NC 001612.1 Human enterovirus A, complete genome
NC 001617.1 Human rhinovirus 89, complete genome
NC 001653.2 Hepatitis delta virus, complete genome
NC 001664.2 Human herpesvirus 6A, complete genome
NC 001669.1 Simian virus 40, complete genome
NC 001672.1 Tick-borne encephalitis virus, complete genome
NC 001699.1 JC polyomavirus, complete genome
NC 001702.1 Murine type C retrovirus, complete genome
NC 001710.1 GB virus C/Hepatitis G virus, complete genome
NC 001716.2 Human herpesvirus 7, complete genome
NC 001722.1 Human immunodeficiency virus 2, complete genome
NC 001729.1 Adeno-associated virus - 3, complete genome
NC 001781.1 Human respiratory syncytial virus, complete genome
NC 001796.2 Human parainfluenza virus 3, complete genome
NC 001798.1 Human herpesvirus 2, complete genome
NC 001802.1 Human immunodeficiency virus 1, complete genome
NC 001803.1 Respiratory syncytial virus, complete genome
NC 001806.1 Human herpesvirus 1, complete genome
NC 001809.1 Louping ill virus, complete genome
NC 001819.1 Rauscher murine leukemia virus, complete genome
NC 001829.1 Adeno-associated virus - 4, complete genome
NC 001906.3 Hendra virus, complete genome
NC 001921.1 Canine distemper virus, complete genome
NC 001925.1 Bunyamwera virus L segment, complete sequence
NC 001926.1 Bunyamwera virus M segment, complete sequence
NC 001927.1 Bunyamwera virus segment S, complete sequence
NC 001943.1 Human astrovirus, complete genome
NC 001959.2 Norovirus GI, complete genome
NC 001989.1 Bovine respiratory syncytial virus, complete genome
NC 002016.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 7, complete sequence
NC 002017.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 4, complete sequence
NC 002018.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 6, complete sequence
NC 002019.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 5, complete sequence
NC 002020.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 8, complete sequence
NC 002021.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 2, complete sequence
NC 002022.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) ORF1, genomic RNA
NC 002023.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 1, complete sequence
NC 002031.1 Yellow fever virus, complete genome
NC 002058.3 Poliovirus, complete genome
NC 002076.2 Torque teno virus 1, complete genome
NC 002077.1 Adeno-associated virus - 1, complete genome
NC 002161.1 Bovine parainfluenza virus 3, complete genome
NC 002195.1 Torque teno mini virus 9, complete genome
NC 002199.1 Tupaia paramyxovirus, complete genome
NC 002200.1 Mumps virus, complete genome
NC 002205.1 Influenza B virus (B/Lee/1940) segment 2, complete sequence
NC 002206.1 Influenza B virus (B/Lee/1940) segment 3, complete sequence
NC 002207.1 Influenza B virus (B/Lee/1940) segment 4, complete sequence
NC 002208.1 Influenza B virus (B/Lee/1940) segment 5, complete sequence
NC 002209.1 Influenza B virus (B/Lee/1940) segment 6, complete sequence
NC 002210.1 Influenza B virus (B/Lee/1940) segment 7, complete sequence
NC 002211.1 Influenza B virus (B/Lee/1940) segment 8, complete sequence
NC 002549.1 Zaire ebolavirus isolate Ebola virus/H.sapiens-tc/COD/1976/Yambuku-Mayinga, complete genome
NC 002617.1 Newcastle disease virus B1, complete genome
NC 002640.1 Dengue virus 4, complete genome
NC 002645.1 Human coronavirus 229E, complete genome
NC 002728.1 Nipah virus, complete genome
NC 003043.1 Avian paramyxovirus 6, complete genome
NC 003243.1 Australian bat lyssavirus, complete genome
NC 003266.2 Human adenovirus E, complete genome
NC 003417.1 Mayaro virus, complete genome
NC 003443.1 Human parainfluenza virus 2, complete genome
NC 003461.1 Human parainfluenza virus 1, complete genome
NC 003466.1 Andes virus segment S, complete sequence
NC 003467.2 Andes virus segment M, complete genome
NC 003468.2 Andes virus segment L, complete genome
NC 003635.1 Modoc virus, complete genome
NC 003675.1 Rio Bravo virus, genome
NC 003676.1 Apoi virus, genome
NC 003687.1 Powassan virus, complete genome
NC 003690.1 Langat virus, complete genome
NC 003696.1 Eyach virus segment 1, complete genome
NC 003697.1 Eyach virus segment 2, complete genome
NC 003698.1 Eyach virus segment 3, complete genome
NC 003699.1 Eyach virus segment 4, complete genome
NC 003700.1 Eyach virus segment 5, complete genome
NC 003701.1 Eyach virus segment 6, complete genome
NC 003702.1 Eyach virus segment 7, complete genome
NC 003703.1 Eyach virus segment 8, complete genome
NC 003704.1 Eyach virus segment 9, complete genome
NC 003705.1 Eyach virus segment 10, complete genome
NC 003706.1 Eyach virus segment 11, complete genome
NC 003707.1 Eyach virus segment 12, complete genome
NC 003977.1 Hepatitis B virus, complete genome
NC 003996.1 Tamana bat virus, genome
NC 004074.1 Tioman virus, complete genome
NC 004102.1 Hepatitis C virus genotype 1, complete genome
NC 004108.1 La Crosse virus segment L, complete genome
NC 004109.1 La Crosse virus segment M, complete genome
NC 004110.1 La Crosse virus segment S, complete genome
NC 004119.1 Montana myotis leukoencephalitis virus, complete genome
NC 004148.2 Human metapneumovirus, complete genome
NC 004157.1 Dugbe virus segment S, complete sequence
NC 004158.1 Dugbe virus segment M, complete sequence
NC 004159.1 Dugbe virus segment L, complete sequence
NC 004161.1 Reston ebolavirus isolate Reston virus/M.fascicularis-tc/USA/1989/Philippines89-Pennsylvania, complete genome
NC 004162.2 Chikungunya virus, complete genome
NC 004180.1 Colorado tick fever virus segment 9, complete sequence
NC 004181.1 Colorado tick fever virus segment 1, complete sequence
NC 004182.1 Colorado tick fever virus segment 2, complete sequence
NC 004183.1 Colorado tick fever virus segment 3, complete sequence
NC 004184.1 Colorado tick fever virus segment 4, complete sequence
NC 004185.1 Colorado tick fever virus segment 5, complete sequence
NC 004186.1 Colorado tick fever virus segment 6, complete sequence
NC 004187.1 Colorado tick fever virus segment 7, complete sequence
NC 004188.1 Colorado tick fever virus segment 8, complete sequence
NC 004189.1 Colorado tick fever virus segment 10, complete sequence
NC 004190.1 Colorado tick fever virus segment 12, complete sequence
NC 004191.1 Colorado tick fever virus segment 11, complete sequence
NC 004198.1 Banna virus segment 12, complete sequence
NC 004199.1 Kadipiro virus chromosome segment 12, complete genome
NC 004200.1 Banna virus segment 11, complete sequence
NC 004201.1 Banna virus segment 10, complete sequence
NC 004202.1 Banna virus segment 9, complete sequence
NC 004203.1 Banna virus segment 8, complete sequence
NC 004204.1 Banna virus segment 7, complete sequence
NC 004205.1 Kadipiro virus segment 11, complete sequence
NC 004206.1 Kadipiro virus chromosome segment 10, complete genome
NC 004207.1 Kadipiro virus chromosome segment 9, complete genome
